Formatted_District,A,B,Localities,C,d,e,f,g,
IA-01,Mariannette Miller-Meeks,R,"Southeast: Davenport, Iowa City",R+3,47.5%,50.4%,44.8%,47.9%,
IA-02,Ashley Hinson,R,"Northeast: Cedar Rapids, Dubuque",R+4,46.8%,51.2%,44.1%,48.7%,
IA-03,Cindy Axne,D,"South central: Des Moines, Ottumwa",R+3,48.8%,49.2%,44.8%,47.8%,
IA-04,Randy Feenstra,R,"West: Sioux City, Council Bluffs, Ames",R+16,36.1%,62.0%,33.2%,60.2%,
ID-01,Russ Fulcher,R,"West: Northern Panhandle, Boise suburbs",R+22,29.5%,67.7%,25.0%,64.1%,
ID-02,Mike Simpson,R,"East: Boise, Pocatello, Idaho Falls",R+14,36.9%,59.9%,29.9%,54.4%,
IL-01,OPEN (Rush),D,"South Side Chicago: Hyde Park, New Lenox",D+20,70.5%,28.1%,71.9%,24.0%,
IL-02,Robin Kelly,D,"South Side Chicago, Kankakee, Danville",D+19,69.3%,29.3%,69.1%,26.8%,
IL-03,NEW SEAT,N/A,"Chicago northwest side: Humboldt Park, West Chicago",D+20,69.7%,28.3%,69.1%,24.6%,
IL-04,Chuy Garcia,D,"Chicago southwest side: Pilsen, Cicero",D+22,72.2%,25.9%,72.4%,21.7%,
IL-05,Mike Quigley,D,"North side of Chicago: Lincoln Park, Barrington",D+18,69.0%,29.2%,65.5%,27.3%,
IL-06,Sean Casten,D,"Southwest Chicago suburbs: Oak Lawn, Downers Grove",D+3,54.5%,43.6%,50.7%,42.4%,
IL-07,Danny Davis,D,"Chicago Loop and West Side: Austin, Oak Park",D+36,85.6%,12.8%,85.8%,9.8%,
IL-08,Raja Krishnamoorthi,D,"Northwest Chicago suburbs: Schaumburg, Elgin",D+6,56.8%,41.4%,54.6%,38.9%,
IL-09,Jan Schakowsky,D,"Chicago north suburbs: Evanston, Glenview",D+19,69.9%,28.5%,68.2%,25.8%,
IL-10,Brad Schneider,D,"Northeast: Highland Park, Waukegan",D+11,62.0%,36.1%,57.7%,34.9%,
IL-11,Bill Foster,D,"Chicago exurbs: Aurora, Naperville, Bolingbrook",D+5,56.6%,41.3%,51.7%,41.1%,
IL-12,Mike Bost,R,"South: Effingham, Carbondale",R+24,27.7%,70.5%,26.0%,68.5%,
IL-13,OPEN (Davis),R,"South central: East St. Louis, Springfield, Champaign",D+3,54.4%,43.2%,50.6%,42.3%,
IL-14,Lauren Underwood,D,"Chicago exurbs: Joliet, DeKalb",D+4,54.7%,43.3%,50.7%,42.1%,
IL-15,Mary Miller,R,"Metro East: St. Louis suburbs, Quincy",R+22,29.6%,68.4%,27.7%,66.0%,
IL-16,Darin LaHood,R,"North central: suburbs of Peoria, Rockford, Bloomington",R+13,38.1%,59.6%,34.3%,58.0%,
IL-17,OPEN (Bustos),D,"Northwest: Rock Island, Rockford, Peoria",D+2,52.7%,44.9%,49.6%,42.9%,
IN-01,Frank Mrvan,D,"Northwest: Gary, Hammond",D+3,53.4%,45.0%,53.0%,41.2%,
IN-02,Jackie Walorski,R,"North: South Bend, Elkhart",R+14,37.8%,60.4%,34.3%,59.4%,
IN-03,Jim Banks,R,Northeast: Fort Wayne,R+18,34.0%,63.9%,29.9%,64.0%,
IN-04,Jim Baird,R,"West central: Lafayette, Zionsville",R+18,34.3%,63.4%,29.6%,63.6%,
IN-05,Victoria Spartz,R,"Northern Indianapolis suburbs, Kokomo",R+11,41.0%,57.0%,34.9%,58.3%,
IN-06,Greg Pence,R,"East central: New Castle, Columbus",R+19,33.0%,64.9%,28.2%,65.3%,
IN-07,Andre Carson,D,Indianapolis,D+19,70.3%,27.9%,64.7%,29.0%,
IN-08,Larry Bucshon,R,"Southwest: Evansville, Terre Haute",R+19,32.7%,65.5%,30.2%,64.3%,
IN-09,OPEN (Hollingsworth),R,"Southeast: Jeffersonville, Bloomington",R+16,35.4%,62.8%,33.1%,61.4%,
KS-01,Tracey Mann,R,"West: Garden City, Hutchinson, Lawrence",R+18,34.1%,63.7%,29.6%,63.5%,
KS-02,Jake LaTurner,R,"East and southeast: Topeka, Kansas City, Pittsburg",R+11,40.7%,57.0%,36.9%,55.6%,
KS-03,Sharice Davids,D,"Kansas City suburbs: Overland Park, Olathe",R+1,51.2%,46.7%,42.9%,48.2%,
KS-04,Ron Estes,R,"South central: Wichita, El Dorado",R+14,38.0%,59.7%,32.3%,59.2%,
KY-01,James Comer,R,"West and central: Paducah, Frankfort",R+24,27.9%,70.6%,25.9%,70.2%,
KY-02,Brett Guthrie,R,"West central: Bowling Green, Owensboro",R+21,30.9%,67.4%,27.8%,67.6%,
KY-03,OPEN (Yarmuth),D,Louisville and inner suburbs,D+9,60.0%,37.7%,55.1%,39.6%,
KY-04,Thomas Massie,R,"North: Covington, Newport, Maysville",R+19,32.7%,65.4%,28.9%,65.6%,
KY-05,Hal Rogers,R,"East: Ashland, Pikeville, Somerset",R+32,19.7%,79.0%,18.5%,78.5%,
KY-06,Andy Barr,R,"Central: Lexington, Richmond, Georgetown",R+9,43.5%,54.5%,38.2%,55.8%,
LA-01,Steve Scalise,R,"New Orleans suburbs: Slidell, Houma",R+23,29.3%,68.8%,26.1%,69.3%,
LA-02,Troy Carter,D,"Southeast: New Orleans, Baton Rouge",D+25,75.6%,22.8%,74.6%,22.2%,
LA-03,Clay Higgins,R,"Southwest: Lafayette, Lake Charles",R+21,30.3%,68.0%,29.3%,67.2%,
LA-04,Mike Johnson,R,"Northwest: Shreveport, Opelousas",R+14,37.2%,61.3%,37.0%,60.3%,
LA-05,Julia Letlow,R,"Northeast: Monroe, Alexandria",R+17,34.4%,64.1%,34.4%,63.2%,
LA-06,Garret Graves,R,"South central: parts of Baton Rouge, Thibodaux",R+19,32.2%,65.9%,30.2%,65.5%,
MA-01,Richard Neal,D,"West: Springfield, the Berkshires",D+9,59.6%,38.0%,54.9%,37.4%,
MA-02,Jim McGovern,D,"West central: Worcester, Northampton",D+13,64.0%,33.3%,57.5%,33.9%,
MA-03,Lori Trahan,D,"Northeast: Lowell, Lawrence",D+11,62.4%,35.1%,56.7%,35.4%,
MA-04,Jake Auchincloss,D,"Southeast: Newton, Brookline, Fall River",D+12,63.0%,34.7%,57.6%,35.0%,
MA-05,Katherine Clark,D,"Boston suburbs: Arlington, Watertown",D+23,74.4%,23.5%,68.6%,24.9%,
MA-06,Seth Moulton,D,"Northeast: Lynn, Salem, Beverly",D+11,62.6%,35.2%,55.4%,37.3%,
MA-07,Ayanna Pressley,D,"Most of Boston, Somerville, Cambridge",D+35,85.2%,13.0%,83.2%,11.6%,
MA-08,Stephen Lynch,D,"South Boston, Quincy, Braintree",D+15,66.6%,31.3%,60.5%,32.9%,
MA-09,Bill Keating,D,"Southeast: Cape Cod, New Bedford, Plymouth",D+6,58.0%,39.9%,51.4%,41.5%,
MD-01,Andy Harris,R,"Eastern Shore, Harford County",R+11,41.5%,55.9%,35.6%,58.6%,
MD-02,Dutch Ruppersberger,D,"Baltimore suburbs: Towson, Owings Mills",D+7,58.9%,38.3%,52.3%,41.2%,
MD-03,John Sarbanes,D,"DC/Baltimore suburbs: Columbia, Glen Burnie, Annapolis",D+10,61.2%,35.9%,53.2%,39.5%,
MD-04,OPEN (Brown),D,DC suburbs: Most of Prince George's County,D+40,89.2%,8.6%,89.2%,7.4%,
MD-05,Steny Hoyer,D,"South: Waldorf, Bowie, La Plata",D+15,67.0%,30.7%,59.2%,35.3%,
MD-06,David Trone,D,"West: Frederick, Hagerstown, Gaithersburg",D+2,53.6%,43.8%,47.4%,46.2%,
MD-07,Kweisi Mfume,D,Baltimore and inner suburbs,D+30,80.5%,17.4%,77.7%,17.6%,
MD-08,Jamie Raskin,D,"DC suburbs: Rockville, Bethesda, Silver Spring",D+29,79.9%,17.8%,75.7%,18.4%,
ME-01,Chellie Pingree,D,"South: Portland, Brunswick",D+9,60.0%,37.2%,53.8%,39.4%,
ME-02,Jared Golden,D,"North: Bangor, Lewiston,",R+6,45.5%,51.6%,41.6%,50.6%,
MI-01,Jack Bergman,R,"North: Upper Peninsula, Traverse City",R+13,39.3%,59.1%,35.6%,58.9%,
MI-02,John Moolenaar,R,"West central: Manistee, Mount Pleasant",R+16,35.0%,63.2%,32.9%,60.9%,
MI-03,Peter Meijer,R,"West: Grand Rapids, Muskegon",D+1,53.3%,44.8%,46.7%,46.6%,
MI-04,Bill Huizenga,R,"West: Holland, Kalamazoo",R+5,47.1%,51.0%,42.2%,51.6%,
MI-05,Tim Walberg,R,"South: Jackson, Monroe, Three Rivers",R+15,37.1%,61.2%,34.5%,59.9%,
MI-06,Debbie Dingell,D,"Southeast: Ann Arbor, Canton, Ypsilanti",D+11,62.7%,36.0%,58.0%,37.2%,
MI-07,Elissa Slotkin,D,"Central: Lansing, Howell",R+2,49.6%,48.7%,45.1%,48.9%,
MI-08,Dan Kildee,D,"East central: Flint, Saginaw, Bay Cities",R+1,50.3%,48.2%,48.0%,46.9%,
MI-09,Lisa McClain,R,"The Thumb: Port Huron, Detroit exurbs",R+18,34.5%,64.0%,30.9%,64.0%,
MI-10,OPEN (Levin),D,"Macomb County: Warren, Sterling Heights",R+3,48.9%,49.8%,45.1%,50.4%,
MI-11,Haley Stevens vs. Andy Levin,D,"Oakland County: Royal Oak, Pontiac",D+7,59.3%,39.4%,54.5%,40.6%,
MI-12,Rashida Tlaib,D,"Detroit area: Dearborn, Southfield",D+23,73.7%,25.2%,71.8%,24.6%,
MI-13,OPEN (Lawrence),D,"Most of Detroit, Romulus, Taylor",D+23,74.2%,24.6%,74.1%,22.7%,
MN-01,VACANT (Hagedorn),R,"South: Mankato, Rochester",R+7,44.2%,53.4%,38.5%,52.4%,
MN-02,Angie Craig,D,"South Twin Cities suburbs: Eagan, Northfield",D+1,52.4%,45.2%,45.0%,46.0%,
MN-03,Dean Phillips,D,"Minneapolis suburbs: Maple Grove, Minnetonka",D+8,59.3%,38.4%,51.1%,40.1%,
MN-04,Betty McCollum,D,"St. Paul, Stillwater",D+17,67.5%,30.2%,61.1%,30.0%,
MN-05,Ilhan Omar,D,Minneapolis and inner suburbs,D+30,80.3%,17.4%,73.3%,18.1%,
MN-06,Tom Emmer,R,"Central: St. Cloud, Twin Cities exurbs",R+12,40.0%,57.6%,33.8%,57.5%,
MN-07,Michelle Fischbach,R,"Northwest: Moorhead, Fergus Falls, Willmar",R+19,32.4%,65.6%,29.3%,63.2%,
MN-08,Pete Stauber,R,"Iron Range: Duluth, Brainerd, Bemidji",R+8,43.3%,54.5%,39.5%,52.3%,
MO-01,Cori Bush,D,St. Louis and northern suburbs,D+27,78.4%,20.0%,74.9%,20.9%,
MO-02,Ann Wagner,R,"St. Louis suburbs: Chesterfield, Franklin County",R+7,45.3%,53.1%,39.3%,55.8%,
MO-03,Blaine Luetkemeyer,R,"East central: Jefferson City, St. Charles",R+16,36.0%,62.1%,32.0%,62.9%,
MO-04,OPEN (Hartzler),R,"West central: Belton, part of Columbia",R+23,29.2%,68.8%,26.6%,68.2%,
MO-05,Emanuel Cleaver,D,Kansas City and northern suburbs,D+11,62.2%,35.8%,57.5%,37.1%,
MO-06,Sam Graves,R,"North: Kansas City suburbs, St. Joseph, Hannibal",R+21,30.6%,67.7%,28.3%,66.6%,
MO-07,OPEN (Long),R,"Southwest: Springfield, Joplin, Branson",R+24,28.4%,69.8%,24.8%,70.2%,
MO-08,Jason Smith,R,"Southeast: Cape Girardeau, Poplar Bluff, Rolla",R+28,23.6%,74.9%,22.7%,73.5%,
MS-01,Trent Kelly,R,"Northeast: Tupelo, Memphis suburbs",R+18,33.4%,65.1%,32.0%,65.8%,
MS-02,Bennie Thompson,D,"Mississippi Delta: Jackson, Greenville, Natchez",D+11,62.5%,36.4%,62.3%,36.4%,
MS-03,Michael Guest,R,"East central: Jackson suburbs, Meridian",R+15,37.2%,61.5%,35.2%,62.8%,
MS-04,Steven Palazzo,R,"South: Hattiesburg, Gulfport, Biloxi",R+22,30.3%,68.3%,28.1%,69.5%,
